0	1	2	3	4	prediction
FBgn0000042	MFBST.11286	MFBST.12241	0.6830198271479411	0.8954224041682174	1
FBgn0000043	MFBST.2570	FBgn0236780	0.7338173018753781	0.4575432811211872	0
FBgn0000043	MFBST.2570	MFBST.2519	0.5475387727579232	0.4618226600985222	0
FBgn0000043	MFBST.2570	MFBST.2528	0.9368179207352096	0.9362354383813613	1
FBgn0000043	MFBST.2570	MFBST.2531	0.5782190132370638	0.4224765868886576	0
FBgn0000043	MFBST.2570	MFBST.2532	0.2752953261427838	0.4564676616915423	0
FBgn0000043	MFBST.2570	MFBST.2534	0.4693381906496661	0.4411384217335058	0
FBgn0000044	MFBST.4462	FBgn0275843	0.14076576576576574	0.496	0
FBgn0000044	MFBST.4462	MFBST.3957	0.9642660802638812	0.9749144811858608	1
FBgn0000044	MFBST.4462	MFBST.3963	0.25042111173498033	0.44170403587443946	0
FBgn0000045	MFBST.7521	FBgn0239812	0.3691275167785235	0.4984848484848485	0
FBgn0000045	MFBST.7521	FBgn0276017	0.2384142936906756	0.4707259953161593	0
FBgn0000045	MFBST.7521	FBgn0276747	0.4266592303402119	0.4509803921568628	0
FBgn0000045	MFBST.7521	MFBST.7522	0.41913167938931295	0.44393853158793395	0
FBgn0000045	MFBST.7521	MFBST.7525	0.5054254711593376	0.4796610169491525	0
FBgn0000045	MFBST.7521	MFBST.7529	0.5891006352390504	0.4824063564131669	0
FBgn0000045	MFBST.7521	MFBST.7530	0.522930648769575	0.7529411764705882	1
FBgn0000045	MFBST.7521	MFBST.7531	0.8720472440944882	0.4672686230248307	0
FBgn0000045	MFBST.7521	MFBST.7532	0.21296813862493014	0.4724409448818898	0
FBgn0000045	MFBST.7521	MFBST.7534	0.2245810055865922	0.4651741293532338	0
FBgn0000046	MFBST.8707	MFBST.9012	0.8786919831223629	0.9783913565426171	1
FBgn0000046	MFBST.8707	MFBST.9015	0.4948897256589565	0.4336956521739129	0
FBgn0000046	MFBST.8707	MFBST.9016	0.2785560344827586	0.4352030947775629	0
FBgn0000046	MFBST.8707	MFBST.9017	0.3191603875134553	0.4620573355817875	0
FBgn0000047	MFBST.8922	MFBST.9171	0.4402467232074017	0.4640980735551664	0
FBgn0000047	MFBST.8922	MFBST.9182	0.9613500272182908	0.9535673839184596	1
FBgn0000055	MFBST.1765	MFBST.1774	0.190714610832954	0.513126491646778	0
FBgn0000055	MFBST.1765	MFBST.1778	0.21129326047358835	0.4418103448275862	0
FBgn0000055	MFBST.1765	MFBST.1779	0.24487938097405554	0.5092936802973977	0
FBgn0000055	MFBST.1765	MFBST.1781	0.5466847090663058	0.4595709570957096	0
FBgn0000078	MFBST.4005	FBgn0229450	0.5172619047619048	0.4533947065592635	0
FBgn0000078	MFBST.4005	MFBST.4731	0.19318181818181815	0.4829721362229102	0
FBgn0000078	MFBST.4005	MFBST.4732	0.1807875894988067	0.4191419141914192	0
FBgn0000078	MFBST.4005	MFBST.4733	0.23448687350835326	0.4936386768447837	0
FBgn0000078	MFBST.4005	MFBST.4734	0.6328217237308147	0.4468283582089552	0
FBgn0000078	MFBST.4005	MFBST.4736	0.9586919104991394	0.9461400359066428	1
FBgn0000078	MFBST.4005	MFBST.4738	0.9211908931698776	0.947401774397972	1
FBgn0000078	MFBST.4005	MFBST.4746	0.2544802867383513	0.4577464788732394	0
FBgn0000078	MFBST.4005	MFBST.4747	0.5378201310303752	0.4540420819490587	0
FBgn0000079	MFBST.4002	MFBST.4731	0.1812042768711311	0.4813664596273292	0
FBgn0000079	MFBST.4002	MFBST.4732	0.1702247191011236	0.504950495049505	0
FBgn0000079	MFBST.4002	MFBST.4733	0.22078651685393255	0.4529262086513995	0
FBgn0000079	MFBST.4002	MFBST.4734	0.5988857938718662	0.4409302325581395	0
FBgn0000079	MFBST.4002	MFBST.4736	0.9708683473389356	0.924408540103866	1
